1485998623.94 {'AI5': 2.3291015625, 'AI4': 4.7705078125, 'AI0': -1.0205078125, 'AI2': -1.015625} 
1485998623.98 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0302734375, 'AI2': -1.015625} 
1485998624.03 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0595703125, 'AI2': -1.0546875} 
1485998624.08 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -1.0595703125, 'AI2': -1.0498046875} 
1485998624.13 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0009765625, 'AI2': -1.0009765625} 
1485998624.17 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0107421875, 'AI2': -1.0107421875} 
1485998624.22 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.025390625, 'AI2': -1.025390625} 
1485998624.27 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0107421875, 'AI2': -1.0400390625} 
1485998624.32 {'AI5': 2.314453125, 'AI4': 4.765625, 'AI0': -0.99609375, 'AI2': -0.9912109375} 
1485998624.37 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0302734375, 'AI2': -1.025390625} 
1485998624.41 {'AI5': 2.32421875, 'AI4': 4.7705078125, 'AI0': -1.015625, 'AI2': -1.0302734375} 
1485998624.46 {'AI5': 2.3291015625, 'AI4': 4.765625, 'AI0': -1.03515625, 'AI2': -1.0302734375} 
1485998624.51 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.03515625, 'AI2': -1.0595703125} 
1485998624.56 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.005859375, 'AI2': -1.005859375} 
1485998624.61 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.025390625, 'AI2': -1.0107421875} 
1485998624.66 {'AI5': 2.3291015625, 'AI4': 4.7607421875, 'AI0': -1.0400390625, 'AI2': -1.0302734375} 
1485998624.7 {'AI5': 2.3193359375, 'AI4': 4.765625, 'AI0': -1.015625, 'AI2': -1.0205078125} 
1485998624.75 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.025390625, 'AI2': -1.0498046875} 
1485998624.8 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0107421875, 'AI2': -1.0205078125} 
1485998624.85 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.0302734375, 'AI2': -1.025390625} 
1485998624.89 {'AI5': 2.314453125, 'AI4': 4.765625, 'AI0': -1.03515625, 'AI2': -1.025390625} 
1485998624.94 {'AI5': 2.32421875, 'AI4': 4.765625, 'AI0': -1.025390625, 'AI2': -1.015625} 
