1485999163.895309 {'AI5': 2.333984375, 'AI4': 4.7509765625, 'AI0': -0.517578125, 'AI2': -0.5126953125} 
1485999163.909544 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.546875, 'AI2': -0.5419921875} 
1485999163.957290 {'AI5': 2.32421875, 'AI4': 4.7607421875, 'AI0': -0.556640625, 'AI2': -0.5712890625} 
1485999164.005632 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5517578125, 'AI2': -0.5517578125} 
1485999164.053461 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.5615234375, 'AI2': -0.5615234375} 
1485999164.101345 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.52734375} 
1485999164.149143 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.546875, 'AI2': -0.537109375} 
1485999164.197235 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5419921875, 'AI2': -0.546875} 
1485999164.245171 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.517578125, 'AI2': -0.5224609375} 
1485999164.293233 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5126953125, 'AI2': -0.5224609375} 
1485999164.341377 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5419921875, 'AI2': -0.537109375} 
1485999164.390199 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5712890625, 'AI2': -0.5615234375} 
1485999164.437162 {'AI5': 2.32421875, 'AI4': 4.7607421875, 'AI0': -0.60546875, 'AI2': -0.6005859375} 
1485999164.485342 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.546875, 'AI2': -0.5419921875} 
1485999164.533277 {'AI5': 2.32421875, 'AI4': 4.7607421875, 'AI0': -0.5517578125, 'AI2': -0.556640625} 
1485999164.581379 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5517578125, 'AI2': -0.5517578125} 
1485999164.629429 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.546875, 'AI2': -0.546875} 
1485999164.677437 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5615234375, 'AI2': -0.5517578125} 
1485999164.725492 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5322265625, 'AI2': -0.5322265625} 
1485999164.773135 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5224609375, 'AI2': -0.5224609375} 
1485999164.821223 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.546875, 'AI2': -0.537109375} 
1485999164.869191 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.546875, 'AI2': -0.5517578125} 
1485999164.917347 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5615234375, 'AI2': -0.56640625} 
1485999164.965386 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.6005859375, 'AI2': -0.5859375} 
1485999165.013575 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5615234375, 'AI2': -0.5517578125} 
1485999165.061545 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5517578125, 'AI2': -0.556640625} 
1485999165.109277 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.52734375, 'AI2': -0.5419921875} 
1485999165.157334 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.56640625, 'AI2': -0.56640625} 
1485999165.205263 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.537109375} 
1485999165.253279 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.5419921875} 
1485999165.301118 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5615234375, 'AI2': -0.5615234375} 
1485999165.349101 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.546875, 'AI2': -0.537109375} 
1485999165.398158 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.56640625, 'AI2': -0.5810546875} 
1485999165.445422 {'AI5': 2.32421875, 'AI4': 4.7607421875, 'AI0': -0.5517578125, 'AI2': -0.556640625} 
1485999165.493502 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.556640625, 'AI2': -0.56640625} 
1485999165.541139 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.56640625, 'AI2': -0.5615234375} 
1485999165.589276 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.537109375} 
1485999165.637456 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.56640625, 'AI2': -0.556640625} 
1485999165.685278 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5224609375, 'AI2': -0.517578125} 
1485999165.733119 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.546875} 
1485999165.781111 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5419921875, 'AI2': -0.5419921875} 
1485999165.829289 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.52734375, 'AI2': -0.5322265625} 
1485999165.877458 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.56640625, 'AI2': -0.576171875} 
1485999165.925069 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.546875, 'AI2': -0.546875} 
1485999165.973153 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5224609375, 'AI2': -0.5224609375} 
1485999166.021228 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5224609375, 'AI2': -0.5224609375} 
1485999166.069215 {'AI5': 2.32421875, 'AI4': 4.74609375, 'AI0': -0.537109375, 'AI2': -0.537109375} 
1485999166.117564 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.56640625, 'AI2': -0.56640625} 
1485999166.165172 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.546875} 
1485999166.213631 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5419921875, 'AI2': -0.52734375} 
1485999166.261072 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.5224609375, 'AI2': -0.5126953125} 
1485999166.309306 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5517578125, 'AI2': -0.5322265625} 
1485999166.357036 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.556640625, 'AI2': -0.5615234375} 
1485999166.407244 {'AI5': 2.3193359375, 'AI4': 4.7509765625, 'AI0': -0.5224609375, 'AI2': -0.517578125} 
1485999166.453195 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.5322265625} 
1485999166.501309 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5419921875, 'AI2': -0.5419921875} 
1485999166.549080 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.556640625, 'AI2': -0.5419921875} 
1485999166.597328 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5322265625, 'AI2': -0.5419921875} 
1485999166.645166 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.537109375, 'AI2': -0.5322265625} 
1485999166.693162 {'AI5': 2.3193359375, 'AI4': 4.7607421875, 'AI0': -0.517578125, 'AI2': -0.5224609375} 
1485999166.741213 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.556640625, 'AI2': -0.556640625} 
1485999166.789184 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5224609375, 'AI2': -0.5224609375} 
1485999166.837469 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.537109375, 'AI2': -0.5322265625} 
1485999166.885049 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.52734375, 'AI2': -0.5224609375} 
1485999166.933253 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.517578125, 'AI2': -0.5224609375} 
1485999166.981276 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.5419921875, 'AI2': -0.5419921875} 
1485999167.029634 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5419921875, 'AI2': -0.546875} 
1485999167.077157 {'AI5': 2.32421875, 'AI4': 4.755859375, 'AI0': -0.5126953125, 'AI2': -0.537109375} 
1485999167.125149 {'AI5': 2.32421875, 'AI4': 4.7509765625, 'AI0': -0.5419921875, 'AI2': -0.5322265625} 
1485999167.173283 {'AI5': 2.3193359375, 'AI4': 4.755859375, 'AI0': -0.52734375, 'AI2': -0.5322265625} 
