1485999598.233777 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2978515625, 'AI2': 0.2978515625} 
1485999598.235774 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.3125} 
1485999598.283469 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2587890625, 'AI2': 0.2392578125} 
1485999598.331712 {'AI5': 2.314453125, 'AI4': 4.78515625, 'AI0': 0.263671875, 'AI2': 0.2880859375} 
1485999598.379906 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2783203125, 'AI2': 0.29296875} 
1485999598.427600 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.29296875, 'AI2': 0.2880859375} 
1485999598.475828 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.29296875, 'AI2': 0.29296875} 
1485999598.523883 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.283203125} 
1485999598.571465 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2978515625, 'AI2': 0.29296875} 
1485999598.620100 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3271484375, 'AI2': 0.341796875} 
1485999598.667652 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.263671875, 'AI2': 0.283203125} 
1485999598.715559 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.283203125, 'AI2': 0.302734375} 
1485999598.763614 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.33203125, 'AI2': 0.3125} 
1485999598.811755 {'AI5': 2.314453125, 'AI4': 4.78515625, 'AI0': 0.244140625, 'AI2': 0.2490234375} 
1485999598.859478 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2197265625, 'AI2': 0.2294921875} 
1485999598.907467 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2392578125, 'AI2': 0.2392578125} 
1485999598.955472 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.224609375, 'AI2': 0.2392578125} 
1485999599.003547 {'AI5': 2.3193359375, 'AI4': 4.775390625, 'AI0': 0.3076171875, 'AI2': 0.283203125} 
1485999599.051448 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.29296875, 'AI2': 0.2978515625} 
1485999599.099983 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.29296875, 'AI2': 0.2978515625} 
1485999599.148168 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.2978515625} 
1485999599.195667 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2783203125, 'AI2': 0.263671875} 
1485999599.243619 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2880859375, 'AI2': 0.2978515625} 
1485999599.291459 {'AI5': 2.314453125, 'AI4': 4.7802734375, 'AI0': 0.2978515625, 'AI2': 0.2783203125} 
1485999599.339176 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2392578125, 'AI2': 0.25390625} 
1485999599.387491 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2880859375, 'AI2': 0.2880859375} 
1485999599.435356 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2734375, 'AI2': 0.2734375} 
1485999599.483786 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2783203125, 'AI2': 0.263671875} 
1485999599.531271 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3076171875, 'AI2': 0.2978515625} 
1485999599.579740 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.29296875, 'AI2': 0.29296875} 
1485999599.627511 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2685546875, 'AI2': 0.2587890625} 
1485999599.675587 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.29296875, 'AI2': 0.3076171875} 
1485999599.723504 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2392578125, 'AI2': 0.2294921875} 
1485999599.771497 {'AI5': 2.32421875, 'AI4': 4.78515625, 'AI0': 0.2392578125, 'AI2': 0.234375} 
1485999599.819807 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.29296875, 'AI2': 0.283203125} 
1485999599.867538 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3076171875, 'AI2': 0.3125} 
1485999599.915592 {'AI5': 2.3193359375, 'AI4': 4.7900390625, 'AI0': 0.263671875, 'AI2': 0.263671875} 
1485999599.963492 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3173828125, 'AI2': 0.302734375} 
1485999600.011677 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2734375, 'AI2': 0.283203125} 
1485999600.059428 {'AI5': 2.314453125, 'AI4': 4.78515625, 'AI0': 0.2880859375, 'AI2': 0.283203125} 
1485999600.107391 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.3125} 
1485999600.155624 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2783203125, 'AI2': 0.283203125} 
1485999600.203707 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.283203125} 
1485999600.251615 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2880859375, 'AI2': 0.29296875} 
1485999600.299917 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.283203125, 'AI2': 0.29296875} 
1485999600.347376 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2783203125, 'AI2': 0.263671875} 
1485999600.395583 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2587890625, 'AI2': 0.25390625} 
1485999600.443308 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3173828125, 'AI2': 0.3125} 
1485999600.491553 {'AI5': 2.32421875, 'AI4': 4.78515625, 'AI0': 0.2685546875, 'AI2': 0.283203125} 
1485999600.539450 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2783203125, 'AI2': 0.2783203125} 
1485999600.587402 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.3076171875} 
1485999600.636182 {'AI5': 2.314453125, 'AI4': 4.7802734375, 'AI0': 0.302734375, 'AI2': 0.302734375} 
1485999600.683519 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3076171875, 'AI2': 0.3125} 
1485999600.731401 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.2490234375, 'AI2': 0.25390625} 
1485999600.779447 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.283203125, 'AI2': 0.2734375} 
1485999600.827444 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.302734375, 'AI2': 0.3173828125} 
1485999600.875715 {'AI5': 2.32421875, 'AI4': 4.7802734375, 'AI0': 0.302734375, 'AI2': 0.3076171875} 
1485999600.925047 {'AI5': 2.3193359375, 'AI4': 4.775390625, 'AI0': 0.283203125, 'AI2': 0.283203125} 
1485999600.971408 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.322265625, 'AI2': 0.3173828125} 
1485999601.019913 {'AI5': 2.32421875, 'AI4': 4.78515625, 'AI0': 0.3271484375, 'AI2': 0.322265625} 
1485999601.067356 {'AI5': 2.314453125, 'AI4': 4.7802734375, 'AI0': 0.3125, 'AI2': 0.3173828125} 
1485999601.115375 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.3125, 'AI2': 0.3125} 
1485999601.163308 {'AI5': 2.3193359375, 'AI4': 4.7802734375, 'AI0': 0.3173828125, 'AI2': 0.2978515625} 
1485999601.211559 {'AI5': 2.314453125, 'AI4': 4.78515625, 'AI0': 0.3125, 'AI2': 0.3125} 
1485999601.259569 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3076171875, 'AI2': 0.3076171875} 
1485999601.307389 {'AI5': 2.3193359375, 'AI4': 4.7900390625, 'AI0': 0.2783203125, 'AI2': 0.2880859375} 
1485999601.355385 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.244140625, 'AI2': 0.244140625} 
1485999601.403325 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.33203125, 'AI2': 0.3125} 
1485999601.451322 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.3271484375, 'AI2': 0.3173828125} 
1485999601.499380 {'AI5': 2.3193359375, 'AI4': 4.78515625, 'AI0': 0.2978515625, 'AI2': 0.3076171875} 
